date,NDWI,Turbidity,Chlorophyll,SPM,Transparency
2020-12-31,0.61,1.755,4.0,8.97,0.153
2021-01-31,0.69,1.749,4.0,8.86,0.185
2021-02-28,0.7,1.742,4.0,8.8,0.154
2021-03-31,0.697,1.771,4.0,9.15,0.2
2021-04-30,0.649,1.735,4.18,8.8,0.181
2021-05-31,0.544,1.737,6.76,8.85,0.17
2021-06-30,0.412,1.74,8.67,9.12,0.141
2021-07-31,0.377,1.745,10.38,9.2,0.116
2021-08-31,0.323,1.756,12.41,9.31,0.111
2021-09-30,0.342,1.762,10.14,9.47,0.097
2021-10-31,0.415,1.767,8.59,9.38,0.086
2021-11-30,0.452,1.769,8.25,9.29,0.082
2021-12-31,0.619,1.767,4.66,9.16,0.143
2022-01-31,0.624,1.762,5.23,8.92,0.165
2022-02-28,0.694,1.755,4.0,8.88,0.14
2022-03-31,0.639,1.78,4.12,9.2,0.174
2022-04-30,0.61,1.742,6.21,8.88,0.188
2022-05-31,0.45,1.744,8.7,8.94,0.134
2022-06-30,0.365,1.748,10.63,9.2,0.118
2022-07-31,0.314,1.754,11.23,9.23,0.085
2022-08-31,0.209,1.763,11.74,9.39,0.083
2022-09-30,0.319,1.773,11.88,9.45,0.067
2022-10-31,0.402,1.78,10.35,9.44,0.098
2022-11-30,0.475,1.777,7.83,9.41,0.094
2022-12-31,0.549,1.773,6.77,9.32,0.115
2023-01-31,0.583,1.767,5.87,9.19,0.147
2023-02-28,0.645,1.759,4.78,9.03,0.12
2023-03-31,0.61,1.789,6.53,9.33,0.153
2023-04-30,0.519,1.753,7.18,8.86,0.161
2023-05-31,0.413,1.752,8.82,9.19,0.131
2023-06-30,0.307,1.76,11.13,9.44,0.119
2023-07-31,0.21,1.765,12.17,9.47,0.086
2023-08-31,0.255,1.774,12.43,9.57,0.064
2023-09-30,0.172,1.78,13.2,9.65,0.056
2023-10-31,0.288,1.788,10.78,9.62,0.06
2023-11-30,0.389,1.784,9.27,9.48,0.082
2023-12-31,0.495,1.782,7.59,9.31,0.097
2024-01-31,0.583,1.775,6.61,9.22,0.105
2024-02-29,0.579,1.772,6.23,9.01,0.102
2024-03-31,0.512,1.801,6.55,9.3,0.143
2024-04-30,0.472,1.76,6.52,9.19,0.125
2024-05-31,0.318,1.765,10.0,9.2,0.127
2024-06-30,0.304,1.766,11.65,9.43,0.089
2024-07-31,0.185,1.771,13.75,9.64,0.049
2024-08-31,0.141,1.782,15.27,9.74,0.046
2024-09-30,0.161,1.791,14.68,9.69,0.032
2024-10-31,0.24,1.794,12.85,9.71,0.03
2024-11-30,0.315,1.8,11.18,9.52,0.064
2024-12-31,0.481,1.794,7.69,9.44,0.074
2025-01-31,0.452,1.79,7.67,9.37,0.116
2025-02-28,0.494,1.782,7.58,9.21,0.08
2025-03-31,0.465,1.805,7.16,9.35,0.141
2025-04-30,0.394,1.769,9.61,9.09,0.127
2025-05-31,0.3,1.765,11.09,9.3,0.104
2025-06-30,0.189,1.774,14.29,9.58,0.069
2025-07-31,0.116,1.785,15.94,9.67,0.059
2025-08-31,0.078,1.79,15.27,9.79,0.036
2025-09-30,0.079,1.798,16.43,9.75,0.03
2025-10-31,0.191,1.804,13.75,9.81,0.034
2025-11-30,0.3,1.806,13.65,9.56,0.035
